Name,Team,Pos,GW6,base_pts,bonus_component,reconstructed_GW6,residual_GW6,BPS_net,regression_estimate
Haaland,MCI,FWD,7.6,3.9544444444444444,-0.46962076342787706,3.484823681016567,3.645555555555555,38.82,3.5502075354043106
Bruno Fernandes,MUN,MID,5.0,6.313333333333333,-0.30896739561947395,6.0043659377138585,-1.3133333333333326,25.54,4.402304201050198
Wood,NFO,FWD,4.0,3.2622222222222224,-0.22670512897059286,3.0355170932516296,0.7377777777777776,18.74,3.3280482030520955
Amad Diallo,MUN,MID,3.6,3.098888888888889,-0.16016947212223318,2.9387194167666557,0.5011111111111113,13.24,3.63220635889433
Minteh,BHA,MID,3.5,5.668888888888889,-0.2540452352391916,5.414843653649697,-2.1688888888888886,21.0,3.2974729995450125
Mateta,CRY,FWD,3.1,5.297777777777778,-0.16984738584563094,5.127930391932147,-2.197777777777778,14.04,3.1792461320265777
Isidor,SUN,FWD,2.4,4.417777777777777,-0.07246337900394084,4.345314398773836,-2.0177777777777774,5.99,3.3845734178838724
Ladislav Krejci II,WOL,DEF,1.5,5.826666666666667,-0.1596855764360633,5.666981090230604,-4.326666666666667,13.2,3.667581765430609
Munetsi,WOL,MID,1.4,3.9,-0.13065183526587,3.76934816473413,-2.5,10.8,3.658359386712978
