id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
1,0.0,0.0,0.0,255.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,8374.0,66979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6.0,1.0,25.0,46223.0,69065.0,0.0,0.0,0.02,0.01999999999999999,1.28,21.400000000000002,1.9,0.0,2.3
4,2.0,0.0,-2.0,310088.0,144232.0,0.0,0.21000000000000002,0.030000000000000006,0.24,1.28,0.0,6.099999999999998,15.0,2.0
5,0.0,0.0,0.0,0.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.0,24.0,14388.0,11046.0,0.0,0.0,0.01,0.010000000000000002,1.12,3.4,4.7,2.0,1.0
7,0.0,0.0,0.0,2329.0,6488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,712.0,3370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0,0.0,9.0,21047.0,44068.0,0.0,0.0,0.41,0.41000000000000003,1.12,6.4,26.299999999999997,10.0,4.300000000000001
10,1.0,0.0,3.0,275.0,740.0,0.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.2
11,0.0,0.0,0.0,2602.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,2947.0,3501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2.0,0.0,4.0,34223.0,208690.0,0.0,0.26,0.6000000000000001,0.86,1.28,9.399999999999999,34.2,20.0,6.4
14,0.0,0.0,0.0,2482.0,10781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,10.0,3.0,27.0,198247.0,84727.0,1.0,0.0,0.0,0.0,1.28,28.200000000000003,0.0,0.0,2.8
16,2.0,0.0,18.0,20718.0,80733.0,0.0,0.07,0.11,0.18,1.28,18.799999999999997,12.299999999999999,21.0,5.2
17,6.0,0.0,21.0,276288.0,159825.0,0.0,0.050000000000000044,0.09999999999999998,0.15000000000000002,1.25,27.799999999999997,27.39999999999999,27.0,8.200000000000003
18,6.0,0.0,24.0,115018.0,139243.0,0.0,0.0,0.01,0.01,1.28,23.8,1.2000000000000002,0.0,2.4999999999999996
20,11.0,3.0,27.0,52250.0,7410.0,0.0,0.1,0.08000000000000002,0.18,1.28,39.4,7.5,8.0,5.5
21,0.0,0.0,0.0,55.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,51.0,1724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,7.0,1.0,25.0,21540.0,36517.0,0.0,0.18,0.02,0.2,0.16,33.599999999999994,0.5,26.0,6.0
24,6.0,0.0,23.0,27407.0,64373.0,0.0,0.0,0.020000000000000004,0.01999999999999999,1.28,9.2,6.8,4.0,2.0
25,0.0,0.0,0.0,32807.0,48792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,1.0,0.0,2.0,3836.0,43250.0,0.0,0.0,0.0,0.0,0.16,0.4,0.0,0.0,0.0
597,0.0,0.0,0.0,827.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2.0,0.0,10.0,32733.0,58269.0,0.0,0.04000000000000001,0.020000000000000018,0.06,0.8699999999999999,14.6,14.5,17.0,4.6000000000000005
29,1.0,0.0,2.0,1946.0,14826.0,0.0,0.02,0.01,0.03,0.38,0.0,1.6,1.0,0.2
30,0.0,0.0,0.0,404.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,873.0,2703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.0,3.0,23799.0,48774.0,0.0,0.0,0.0,0.0,0.1200000000000001,0.5999999999999996,0.0,2.0,0.30000000000000027
33,0.0,0.0,0.0,6035.0,11073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,4001.0,8314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0,0.0,8.0,39478.0,17888.0,0.0,0.0,0.03,0.03,0.49,18.6,1.8000000000000007,0.0,2.0000000000000004
37,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,0.0,1.0,24716.0,11479.0,0.0,0.09999999999999998,0.14,0.24,0.51,2.6000000000000014,3.4,7.0,1.2999999999999998
39,0.0,0.0,0.0,13460.0,3890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,6199.0,5518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,189.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,33.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.0,0.0,7.0,79498.0,78099.0,0.0,0.0,0.01,0.009999999999999995,0.8700000000000001,11.200000000000001,1.0,2.0,1.4000000000000004
45,1.0,0.0,0.0,12079.0,47085.0,0.0,0.0,0.09,0.09,0.3799999999999999,4.399999999999999,15.100000000000001,0.0,2.0
46,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1.0,0.0,10.0,68801.0,86984.0,0.0,0.0,0.0,0.0,0.8700000000000001,18.400000000000002,0.0,0.0,1.8000000000000003
48,3.0,0.0,10.0,10390.0,25495.0,0.0,0.0,0.01,0.010000000000000009,0.3599999999999999,0.6000000000000001,1.9999999999999996,0.0,0.30000000000000027
49,0.0,0.0,0.0,68.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1.0,0.0,1.0,27957.0,5996.0,0.0,0.0,0.01,0.01,0.75,15.600000000000001,5.2,0.0,2.1
51,0.0,0.0,0.0,90.0,995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1.0,0.0,3.0,17044.0,11616.0,0.0,0.0,0.01,0.01,0.8700000000000001,8.400000000000002,1.0,0.0,0.8999999999999999
53,1.0,0.0,7.0,4098.0,4242.0,0.0,0.03,0.010000000000000009,0.04000000000000001,0.51,7.200000000000003,11.399999999999999,23.0,4.2
54,2.0,0.0,16.0,213667.0,60740.0,0.0,0.11000000000000001,0.06999999999999999,0.18,0.8700000000000001,14.400000000000002,23.400000000000002,15.0,5.3
55,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,4296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2.0,0.0,8.0,31397.0,13287.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.8700000000000001,21.0,25.099999999999994,0.0,4.6
58,2.0,0.0,-1.0,102420.0,452371.0,0.0,0.87,0.0,0.87,0.3599999999999999,3.2,21.3,23.0,4.8
233,1.0,0.0,2.0,146665.0,42153.0,0.0,0.10999999999999999,0.01,0.12,0.4900000000000002,0.5999999999999943,2.0,6.0,0.9000000000000004
569,0.0,0.0,0.0,273.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,0.0,0.0,0.0,2078.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
