id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
1,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16,3,68,567885,6553,1,0.8200000000000001,0.009999999999999981,0.8300000000000001,1.5500000000000003,74.6,3.299999999999997,62.0,13.999999999999996
3,4,0,13,307065,21288,0,0.3899999999999999,0.010000000000000009,0.40000000000000036,1.5899999999999999,22.19999999999999,10.899999999999991,17.0,5.0
5,0,0,0,0,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0,6,62328,44898,0,0.0,0.020000000000000018,0.020000000000000018,1.549999999999999,7.0,2.700000000000017,4.0,1.3999999999999986
7,0,0,0,782,1320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,804,3766,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0,30,145837,13829,0,0.6600000000000001,0.5300000000000002,1.1900000000000004,1.5900000000000016,50.79999999999998,47.599999999999994,53.0,15.100000000000009
12,1,0,5,4224,5194,0,0.0,0.08000000000000002,0.08000000000000002,0.040000000000000036,2.3999999999999986,3.299999999999997,0.0,0.5999999999999996
13,2,0,19,155502,46981,0,0.08999999999999986,0.23000000000000043,0.3199999999999994,1.5899999999999999,10.800000000000011,35.299999999999955,7.0,5.299999999999997
16,11,2,40,23756,6024,0,0.15999999999999992,0.050000000000000266,0.20999999999999996,0.0600000000000005,63.19999999999999,19.899999999999977,22.0,10.5
17,1,0,3,43376,2338465,0,0.0,0.0,0.0,0.7400000000000002,0.0,0.20000000000004547,0.0,0.0
18,2,0,7,104127,76338,0,0.0,0.010000000000000009,0.009999999999999787,1.5899999999999999,11.599999999999966,1.0999999999999943,0.0,1.3000000000000043
20,5,0,22,4366,5041,0,0.0,0.1100000000000001,0.10999999999999988,1.5899999999999999,24.0,13.299999999999983,4.0,4.100000000000001
22,0,0,0,24,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3,0,9,24513,13136,0,0.020000000000000018,0.11999999999999988,0.14000000000000012,0.8399999999999999,10.0,16.30000000000001,10.0,3.6000000000000085
24,0,0,0,95,8289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0,101,3373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,0,0,469,3295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0,0,0,119,2022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,4,0,20,6168,2568,0,0.0,0.010000000000000009,0.010000000000000009,0.0600000000000005,32.19999999999999,12.300000000000004,0.0,4.5
597,1,0,5,1424,487,0,0.0,0.010000000000000009,0.010000000000000009,1.5299999999999998,4.0,1.4000000000000021,0.0,0.5
633,1,0,4,408,750,0,0.0,0.0,0.0,0.040000000000000036,0.4000000000000057,0.29999999999999716,0.0,0.10000000000000142
638,0,0,0,46,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,0,0,0,159,179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,0,0,0,274,444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,0,0,0,190,298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0,0,0,53,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,0,0,0,126,217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,0,0,0,1863,2872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,0,1088,3022,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,448,1605,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,0,3,84,257,0,0.0,0.0,0.0,0.2999999999999998,0.0,0.0,0.0,0.0
32,1,0,-5,5419,9293,0,0.05,0.020000000000000018,0.06999999999999995,1.0299999999999994,1.200000000000017,0.8000000000000043,4.0,0.5999999999999979
33,0,0,0,0,797,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0,0,879,4891,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2,0,7,13310,75896,0,0.0,0.040000000000000036,0.040000000000000036,1.0300000000000011,9.199999999999989,26.19999999999999,2.0,3.700000000000003
37,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,7,1,35,221609,18905,0,0.9399999999999995,0.0,0.9400000000000004,0.6099999999999994,43.599999999999966,3.200000000000003,47.0,9.400000000000006
39,0,0,0,558,1842,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0,0,3947,1844,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2,0,9,432,294,0,0.0,0.03,0.03,1.0299999999999994,13.400000000000006,3.8999999999999986,0.0,1.6999999999999993
43,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2,0,10,10344,39219,0,0.0,0.0,0.0,1.0300000000000011,7.600000000000023,0.5,0.0,0.8000000000000043
45,0,0,0,773,5570,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
