id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
555,0.0,0.0,0.0,296.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,39.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,61.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,1095.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,0.0,0.0,0.0,8767.0,4581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,596.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,36.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,3392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,0.0,0.0,0.0,127.0,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,4.0,10601.0,9133.0,0.0,0.11,0.0,0.11,0.0,2.0,0.0,17.0,1.9
3,1.0,0.0,7.0,794723.0,44976.0,0.0,0.27,0.05,0.31999999999999984,0.3199999999999994,19.599999999999994,7.299999999999997,57.0,8.400000000000002
4,6.0,0.0,25.0,399391.0,197749.0,0.0,1.8900000000000001,0.04000000000000001,1.9300000000000002,0.3199999999999994,35.599999999999994,8.500000000000007,100.0,14.399999999999999
5,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4.0,0.0,25.0,81403.0,21563.0,0.0,0.21000000000000002,0.12000000000000001,0.33,0.3199999999999994,45.6,82.8,11.0,13.9
7,0.0,0.0,0.0,1646.0,3445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,940.0,1231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,13.0,3.0,39.0,145455.0,22136.0,1.0,0.39,0.55,0.94,0.3200000000000003,52.0,28.200000000000017,60.0,14.0
12,1.0,0.0,6.0,7493.0,3792.0,0.0,0.02,0.16,0.18,0.0,6.200000000000001,11.0,15.0,3.1999999999999997
13,0.0,0.0,0.0,373.0,86290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,1.0,324427.0,321292.0,0.0,0.0,0.0,0.0,0.3199999999999994,10.799999999999983,0.0,0.0,1.1000000000000014
16,2.0,0.0,22.0,21356.0,22686.0,0.0,0.06,0.21999999999999997,0.28,0.3200000000000003,15.399999999999999,29.300000000000004,21.0,6.6
17,3.0,1.0,37.0,561132.0,209935.0,0.0,0.29000000000000004,0.7900000000000003,1.08,0.3199999999999994,38.599999999999994,114.29999999999998,62.0,21.5
18,0.0,0.0,4.0,151502.0,310773.0,0.0,0.0,0.010000000000000002,0.010000000000000002,0.3199999999999994,13.0,1.5,0.0,1.5
20,2.0,0.0,20.0,17711.0,22926.0,0.0,0.0,0.09,0.08999999999999997,0.3199999999999994,13.600000000000009,23.900000000000006,4.0,4.199999999999999
23,12.0,2.0,38.0,60195.0,25237.0,1.0,1.1099999999999999,0.12,1.23,0.31999999999999984,45.199999999999996,31.799999999999997,61.0,13.8
24,0.0,0.0,0.0,12090.0,124981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,94.0,38431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,23652.0,22944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1.0,0.0,4.0,5266.0,11185.0,0.0,0.0,0.03,0.03,0.0,1.2,2.3,4.0,0.8
578,0.0,0.0,4.0,55024.0,16177.0,0.0,0.48,0.28,0.76,0.31999999999999984,27.4,30.3,81.0,13.9
597,0.0,0.0,0.0,1102.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,0.0,0.0,0.0,105.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,0.0,0.0,0.0,167.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,0.0,0.0,0.0,835.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,0.0,0.0,0.0,2157.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,0.0,0.0,0.0,1248.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,0.0,0.0,0.0,386.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,0.0,0.0,0.0,409.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5.0,0.0,21.0,8198.0,19430.0,0.0,0.0,0.45000000000000007,0.45000000000000007,0.5500000000000003,17.000000000000004,18.699999999999996,4.0,4.0
29,1.0,0.0,4.0,1530.0,5862.0,0.0,0.01999999999999999,0.0,0.020000000000000018,0.06999999999999995,3.0,0.3999999999999986,7.0,0.9999999999999991
30,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,0.0,4.0,705.0,955.0,0.0,0.09,0.0,0.09000000000000001,0.07,0.20000000000000007,4.8,1.0,0.6
32,0.0,0.0,0.0,498.0,16497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,0.0,1.0,1620.0,4552.0,0.0,0.0,0.01,0.01,1.18,9.399999999999999,1.6,0.0,1.0999999999999996
36,0.0,0.0,4.0,75296.0,89307.0,0.0,0.0,0.020000000000000018,0.020000000000000018,1.12,17.799999999999997,4.799999999999997,0.0,2.3000000000000007
37,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
