id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
197,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,0.0,0.0,0.0,297.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,0.0,0.0,0.0,357.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1.0,0.0,3.0,318.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999989,0.0,0.10000000000000053
647,0.0,0.0,0.0,132.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,0.0,0.0,-2.0,1171.0,3322.0,0.0,0.0,0.0,0.0,5.43,11.4,0.3,0.0,1.2
510,0.0,0.0,0.0,395.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,0.0,0.0,0.0,31.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1394.0,2803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,108479.0,172816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.0,0.0,2.0,44660.0,57287.0,0.0,0.25,0.020000000000000018,0.2699999999999996,0.21999999999999886,4.800000000000011,3.0999999999999943,35.0,4.300000000000011
5,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14.0,2.0,39.0,180542.0,9751.0,1.0,0.16000000000000003,0.06,0.22000000000000008,0.22000000000000064,36.400000000000006,2.9000000000000057,39.0,7.800000000000004
7,1.0,0.0,3.0,1008.0,904.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,0.29999999999999716,0.0,0.10000000000000053
8,6.0,0.0,29.0,1869.0,458.0,0.0,0.0,0.0,0.0,0.21999999999999975,11.599999999999998,10.5,0.0,2.2
