id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
233,3,0,26,730,717,0,0.0,0.16999999999999993,0.16999999999999993,0.509999999999998,16.19999999999999,19.80000000000001,0.0,3.6000000000000085
385,0,0,0,269,25491,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,0,0,0,65,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731,0,0,0,210,272,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,0,0,27,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,0,7,106,58,0,0.0,0.01,0.01,0.07000000000000028,4.0,1.3,2.0,0.7
93,0,0,0,33,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0,0,0,11,296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,6,1,29,4351,1787,0,0.2899999999999999,0.0,0.29000000000000004,0.07999999999999985,33.0,0.5,17.0,5.1
70,1,0,7,229631,24235,0,0.0,0.08000000000000007,0.07999999999999963,1.5100000000000051,5.2000000000000455,20.90000000000009,2.0,2.8000000000000114
71,1,0,3,67022,34299,0,0.25,0.020000000000000018,0.2699999999999996,1.3299999999999983,0.20000000000004547,0.8000000000000682,30.0,3.1000000000000227
175,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,0,0,0,34,109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,12,3,37,6393,4073,1,0.0,0.08000000000000007,0.07999999999999963,0.980000000000004,39.39999999999998,11.599999999999994,0.0,5.099999999999994
563,2,0,9,51,66,0,0.14,0.04999999999999993,0.19000000000000017,1.1999999999999993,2.799999999999983,2.200000000000017,7.0,1.1999999999999957
564,0,0,0,36,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,2,0,7,123,999,0,0.0,0.05999999999999983,0.0600000000000005,1.129999999999999,7.599999999999994,28.700000000000017,2.0,3.799999999999997
566,11,2,47,15163,35891,1,0.2400000000000002,0.010000000000000009,0.25,1.1300000000000026,51.60000000000002,16.100000000000023,39.0,10.699999999999989
