id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
599,a,,,3.9,758,78,0,0,-1,1,0.3,299,46,0,0,0.0,585,54,0,0,0.0,433,36,0.0,0.0,0,45944,492,41338,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576,55,0.0,553,36,0.0,508,16,0.0,576,55,,,,33,
681,u,0.0,0.0,4.0,697,205,0,0,0,0,0.0,697,239,0,0,0.0,630,223,0,0,0.0,501,187,0.0,0.0,0,1473,0,1562,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623,223,0.0,608,222,0.0,571,213,0.0,623,223,,,,33,
685,a,,,4.0,714,220,0,0,0,0,0.0,635,217,0,0,0.0,643,234,0,0,0.0,516,200,0.0,0.0,0,2738,48,2037,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636,234,0.0,621,233,0.0,584,224,0.0,636,234,,,,33,
739,a,,,1.1,789,10,0,0,0,0,0.6,616,15,62,2,0.0,567,15,0,0,2.0,177,20,1.8,56.4,0,60564,553,28948,119,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558,15,0.0,533,15,0.0,487,15,0.0,558,15,,,,33,
221,a,100.0,100.0,4.3,559,110,0,0,-2,2,0.0,598,205,3,0,1.0,464,168,0,9,0.0,552,224,0.0,0.7,0,5615,75,8464,40,0.0,-0.5,0.62,0.01,0.63,4.32,0.28,0.0,0.28,1.98,38.0,436,160,1.9,484,177,21.0,383,131,6.2,457,160,,,,33,
225,u,0.0,0.0,4.0,644,167,0,0,0,0,0.1,420,149,1,0,1.0,450,156,0,-1,0.0,454,154,0.0,0.2,0,11786,0,52020,51,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.26,0.0,587,198,0.0,567,196,0.0,527,184,0.0,587,198,,,,33,
690,a,,,4.0,717,223,0,0,0,0,0.0,632,216,0,0,0.0,645,236,0,0,0.0,519,203,0.0,0.0,0,4473,44,3678,38,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638,236,0.0,623,235,0.0,587,227,0.0,638,236,,,,33,
279,u,0.0,0.0,4.0,658,178,0,0,0,0,0.0,758,257,0,0,0.0,601,204,0,0,0.0,466,164,0.0,0.0,0,0,0,646,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595,205,0.0,577,203,0.0,537,191,0.0,595,205,,,,33,
772,a,,,5.0,194,119,0,0,0,0,0.0,704,288,9,0,1.3,413,199,0,32,0.5,350,161,0.1,1.8,0,2015,93,1190,64,1.0,0.5,0.13,0.27,0.4,3.24,0.08,0.16,0.24,1.87,18.2,481,222,52.6,343,194,13.0,412,215,8.5,434,208,,,,33,
121,a,100.0,100.0,5.4,138,86,0,0,-1,1,0.1,478,174,44,1,2.1,282,126,3,177,5.0,35,14,0.9,8.1,1,25292,594,26942,212,4.0,3.5,2.23,1.25,3.48,16.8,0.24,0.13,0.37,1.81,194.2,290,132,208.4,182,124,278.0,106,69,67.9,209,107,5.0,3.0,,33,
370,a,100.0,100.0,5.2,161,95,0,0,-3,3,0.2,386,126,33,1,1.7,345,159,0,177,0.8,314,145,0.2,6.3,0,25214,64,37642,82,0.8,0.8,0.26,2.13,2.39,16.15,0.02,0.19,0.21,1.47,157.0,323,144,348.6,101,75,43.0,334,182,54.9,252,129,2.0,4.0,,33,
778,a,,,4.5,464,294,0,0,0,0,0.0,781,333,0,0,0.0,747,313,0,0,0.0,677,269,0.0,0.0,0,176,5,98,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743,310,0.0,737,310,0.0,722,303,0.0,743,310,,,,33,
431,a,100.0,100.0,4.8,310,201,0,0,-2,2,0.0,576,221,46,4,1.6,362,168,0,251,2.5,146,60,0.5,9.6,0,6748,83,7831,45,3.0,3.0,1.39,1.3,2.69,26.56,0.08,0.07,0.15,1.48,355.2,185,77,218.1,171,118,187.0,165,103,76.0,181,98,,,,33,
432,a,100.0,100.0,5.4,135,83,0,0,-1,1,7.8,46,14,135,4,4.1,44,20,13,448,4.2,59,25,0.8,25.0,4,1893785,64846,1279951,14481,4.7,4.7,4.24,3.86,8.1,31.28,0.19,0.17,0.36,1.38,539.2,91,34,609.7,41,35,438.0,65,42,158.9,52,37,2.0,4.0,,33,
433,a,100.0,100.0,6.4,49,25,-1,1,-1,1,5.9,67,22,126,1,4.3,34,16,12,486,2.0,196,90,0.3,19.7,2,1548683,36514,1411407,15136,2.5,2.5,4.81,4.25,9.06,33.99,0.18,0.16,0.34,1.29,555.6,82,30,672.4,28,23,541.0,45,27,176.9,33,25,,2.0,2.0,33,
464,a,100.0,100.0,3.9,765,252,0,0,-1,1,0.1,511,178,0,0,0.0,588,196,0,0,0.0,439,146,0.0,0.0,0,5488,76,10171,50,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579,194,0.0,556,191,0.0,513,177,0.0,579,194,,,,33,
493,u,0.0,0.0,4.9,255,163,0,0,-1,1,0.0,619,245,0,0,0.0,771,329,0,0,0.0,726,302,0.0,0.0,0,2052,0,10722,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770,328,0.0,768,328,0.0,758,325,0.0,770,328,,,,33,
31,u,0.0,0.0,5.1,180,107,0,0,-4,4,0.1,516,190,11,0,0.9,528,246,0,37,0.0,756,323,0.0,2.2,0,6966,0,16995,21,0.0,0.0,0.65,0.03,0.68,2.27,0.66,0.03,0.69,2.3,16.4,482,223,23.2,409,217,16.0,401,212,5.2,469,222,,3.0,,33,
32,a,100.0,100.0,4.4,509,91,0,0,-1,1,1.1,199,77,57,4,2.5,206,63,1,203,3.2,101,26,0.7,13.0,0,238977,971,436707,3872,0.0,5.4,0.32,1.18,1.5,23.62,0.02,0.06,0.08,1.24,293.8,219,78,156.7,221,54,128.0,224,58,57.9,242,76,,,,33,
507,u,0.0,0.0,5.0,232,50,0,0,0,0,0.0,744,86,0,0,0.0,784,82,0,0,0.0,751,72,0.0,0.0,0,0,0,985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785,82,0.0,784,82,0.0,778,82,0.0,785,82,,,,33,
