id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat
770,a,100.0,100.0,5.0,214,135,0,0,0,0,0.1,470,169,33,3,3.7,76,36,2,84,3.2,104,40,0.6,6.6,0,28856,1058,20238,274,3.7,3.2,2.98,0.1,3.07,9.31,0.38,0.01,0.39,1.2,115.4,359,166,62.7,332,190,147.0,204,124,32.6,328,163,,,,33,
784,a,,,4.5,493,84,0,0,0,0,0.0,555,74,0,0,0.0,765,75,0,0,0.0,699,61,0.0,0.0,0,6827,315,2948,291,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763,74,0.0,759,73,0.0,744,74,0.0,763,74,,,,33,
108,u,0.0,0.0,7.3,21,8,0,0,-2,2,1.1,195,29,0,0,0.0,798,87,0,0,0.0,794,85,0.0,0.0,0,43376,0,805561,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799,87,0.0,799,87,0.0,799,87,0.0,799,87,,,,33,
130,u,0.0,0.0,4.5,408,253,0,0,0,0,0.0,795,341,0,0,0.0,712,283,0,0,0.0,633,233,0.0,0.0,0,0,0,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706,280,0.0,701,280,0.0,682,272,0.0,706,280,,,,33,
173,i,0.0,0.0,4.3,595,344,0,0,-2,2,0.1,508,185,0,0,0.0,669,256,0,0,0.0,568,195,0.0,0.0,0,15338,68,13731,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662,252,0.0,654,253,0.0,625,242,0.0,662,252,,,,33,
269,u,0.0,0.0,4.0,653,173,0,0,0,0,0.1,542,188,1,0,1.0,452,157,0,3,0.0,462,160,0.0,0.2,0,2076,0,15251,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593,203,0.0,575,201,0.0,535,189,0.0,593,203,,,,33,
715,a,,,4.0,648,171,0,0,0,0,0.0,582,200,-1,0,-0.5,799,265,0,-19,0.0,458,158,0.0,-0.2,0,6587,111,3819,145,-1.0,-1.5,0.0,0.02,0.02,3.9,0.0,0.02,0.02,3.25,8.8,496,178,2.3,481,174,2.0,462,170,1.3,514,179,,,,33,
794,a,,,4.0,720,226,0,0,0,0,0.0,787,262,0,0,0.0,648,239,0,0,0.0,522,206,0.0,0.0,0,49,17,13,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641,239,0.0,626,238,0.0,590,230,0.0,641,239,,,,33,
660,a,,,4.0,660,50,0,0,0,0,0.1,480,64,1,0,1.0,453,42,0,6,0.0,468,50,0.0,0.2,0,35676,6,31169,107,1.0,1.5,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.15,8.8,497,43,0.0,579,49,0.0,539,31,0.9,521,43,,,,33,
344,a,,,3.9,733,65,0,0,-1,1,0.2,363,52,0,0,0.0,573,43,0,0,0.0,416,24,0.0,0.0,0,21215,209,21993,261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564,44,0.0,539,23,0.0,493,3,0.0,564,44,,,,33,
400,u,0.0,0.0,4.4,503,312,0,0,-1,1,0.1,529,198,0,0,0.0,671,257,0,0,0.0,572,197,0.0,0.0,0,11061,0,14778,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664,253,0.0,656,254,0.0,630,244,0.0,664,253,,,,33,
426,u,0.0,0.0,4.5,386,239,0,0,0,0,0.0,672,275,0,0,0.0,697,270,0,0,0.0,618,220,0.0,0.0,0,1220,0,6554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691,267,0.0,685,267,0.0,666,259,0.0,691,267,,,,33,
522,a,,,4.2,601,31,0,0,-3,3,0.1,433,60,0,0,0.0,661,77,0,0,0.0,544,71,0.0,0.0,0,8164,55,16630,57,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654,78,0.0,642,68,0.0,608,52,0.0,654,78,,,,33,
538,u,0.0,0.0,4.5,422,262,0,0,0,0,0.0,650,263,0,0,0.0,720,290,0,0,0.0,643,241,0.0,0.0,0,1909,0,8951,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714,287,0.0,709,287,0.0,691,279,0.0,714,287,,,,33,
720,a,100.0,100.0,4.0,689,198,0,0,0,0,0.3,308,115,29,7,2.6,188,53,1,157,4.0,62,12,1.0,7.2,0,54234,3367,21218,579,4.5,4.0,0.28,0.08,0.36,16.57,0.03,0.01,0.04,1.55,259.0,237,87,32.0,385,135,26.0,370,124,31.7,334,110,,,,33,
751,a,,,0.8,791,12,0,0,0,0,4.3,368,7,89,9,0.0,559,7,0,0,9.0,1,1,11.2,111.2,0,84290,13587,28807,105,9.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550,7,0.0,525,7,0.0,479,7,0.0,550,7,,,,33,
769,a,,,4.5,443,76,0,0,0,0,0.0,687,234,4,1,1.0,485,172,0,11,0.5,339,107,0.1,0.9,0,1372,124,735,45,1.0,0.5,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.58,3.6,519,185,1.2,487,179,0.0,704,262,0.5,529,186,,,,33,
102,u,0.0,0.0,4.9,265,169,0,0,-1,1,0.0,694,283,2,0,1.0,508,236,0,3,0.0,728,303,0.0,0.4,0,648,0,3958,2,0.0,0.0,0.0,0.02,0.02,0.69,0.0,0.08,0.08,2.7,0.0,772,329,0.5,499,245,0.0,761,326,0.0,772,329,,,,33,
133,u,0.0,0.0,4.5,457,290,0,0,0,0,0.0,707,289,0,0,0.0,743,310,0,0,0.0,672,266,0.0,0.0,0,720,0,4131,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738,307,0.0,732,307,0.0,717,300,0.0,738,307,,,,33,
264,i,0.0,0.0,4.7,321,207,0,0,-3,3,0.0,614,243,30,0,1.7,341,157,0,144,0.0,702,286,0.0,6.4,0,5815,9,13151,20,0.0,0.0,0.5,1.17,1.67,23.62,0.05,0.11,0.16,2.31,111.6,363,170,148.5,229,147,66.0,299,167,31.8,333,166,,,,33,
303,u,0.0,0.0,4.0,645,168,0,0,0,0,0.0,728,247,0,0,0.0,595,199,0,0,0.0,455,155,0.0,0.0,0,0,0,1556,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588,199,0.0,568,197,0.0,528,185,0.0,588,199,,,,33,
325,a,,,4.0,650,47,0,0,-5,5,1.3,177,26,45,0,4.5,23,3,1,156,2.0,178,15,0.5,11.2,1,781782,1086,724662,3276,3.0,3.5,0.0,0.0,0.0,11.09,0.0,0.0,0.0,1.11,224.2,266,24,0.0,572,46,0.0,532,28,22.4,376,24,,,,33,
667,a,,,4.5,454,287,0,0,0,0,0.0,716,297,0,0,0.0,740,307,0,0,0.0,669,263,0.0,0.0,0,1396,8,1158,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735,304,0.0,729,304,0.0,714,297,0.0,735,304,,,,33,
419,u,0.0,0.0,4.5,400,247,0,0,0,0,0.1,446,157,0,0,0.0,705,277,0,0,0.0,626,227,0.0,0.0,0,12007,0,43437,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699,274,0.0,694,274,0.0,675,266,0.0,699,274,,,,33,
474,a,100.0,100.0,4.2,613,148,0,0,-3,3,0.1,412,148,42,0,1.4,389,127,0,106,0.8,300,92,0.2,10.0,1,35701,44,43033,116,0.3,0.3,0.47,2.46,2.93,38.95,0.03,0.15,0.18,2.4,282.6,227,83,290.1,125,27,135.0,213,50,70.6,201,62,,2.0,,33,
475,d,25.0,25.0,3.9,740,239,0,0,-1,1,3.3,107,39,5,0,0.7,535,184,0,16,0.0,421,140,0.0,1.3,0,418944,37,616916,7177,-0.1,-0.1,0.0,0.1,0.1,7.61,0.0,0.03,0.03,2.6,72.6,402,142,26.5,401,143,2.0,461,169,10.2,427,149,,,,33,
679,a,,,4.5,472,298,0,0,0,0,0.0,709,291,0,0,0.0,754,317,0,0,0.0,685,273,0.0,0.0,0,2324,21,1734,33,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750,314,0.0,745,314,0.0,729,307,0.0,750,314,,,,33,
710,a,,,4.5,465,295,0,0,0,0,0.0,754,315,0,0,0.0,748,314,0,0,0.0,678,270,0.0,0.0,0,594,8,387,13,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744,311,0.0,738,311,0.0,723,304,0.0,744,311,,,,33,
476,a,100.0,100.0,4.2,610,145,0,0,-3,3,0.3,315,119,52,5,1.7,339,109,3,222,2.2,163,45,0.5,12.4,0,51609,1312,71827,428,1.7,1.7,0.69,2.27,2.95,72.44,0.02,0.07,0.09,2.38,469.0,128,50,390.7,87,17,216.0,144,19,107.2,109,24,,,,33,
477,a,100.0,100.0,4.0,656,176,0,0,0,0,1.1,201,79,13,0,1.4,387,125,2,42,0.0,465,163,0.0,3.2,0,125554,85,153101,786,-0.5,-0.5,0.23,0.04,0.27,16.83,0.03,0.01,0.04,2.44,94.8,385,136,19.4,421,149,14.0,403,140,13.0,412,142,,,,33,
510,a,,,3.9,746,72,0,0,-1,1,1.8,150,23,0,0,0.0,579,48,0,0,0.0,425,30,0.0,0.0,0,128307,2952,104234,2035,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570,49,0.0,547,30,0.0,502,10,0.0,570,49,,,,33,
142,a,100.0,100.0,4.0,637,43,0,0,-5,5,0.7,242,31,9,0,4.5,22,2,1,46,0.0,450,44,0.0,2.2,0,299192,205,348879,369,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.94,40.4,432,36,0.0,563,42,0.0,523,24,4.1,477,36,,,,33,
143,u,0.0,0.0,5.5,118,32,0,0,0,0,0.0,753,87,0,0,0.0,791,84,0,0,0.0,776,79,0.0,0.0,0,0,0,1473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792,84,0.0,792,84,0.0,790,84,0.0,792,84,,,,33,
144,d,75.0,100.0,4.5,405,70,0,0,0,0,0.8,225,87,75,-1,2.5,210,66,6,348,-0.5,799,265,-0.1,16.7,2,314961,410,274558,4590,-0.4,-0.5,1.24,1.33,2.57,37.7,0.04,0.05,0.09,1.3,658.4,48,18,230.2,164,34,172.0,174,31,106.2,110,25,,,,33,
145,d,50.0,0.0,4.3,564,113,0,0,-2,2,1.1,193,74,58,0,3.1,124,29,7,247,0.0,555,226,0.0,13.5,1,643556,20,663333,1063,0.0,0.0,0.47,1.29,1.76,23.78,0.03,0.07,0.1,1.3,269.2,234,86,143.8,234,62,59.0,302,93,47.4,278,85,,,,33,
548,a,100.0,100.0,5.3,147,88,0,0,-2,2,0.1,471,170,55,0,2.3,252,106,2,172,0.0,764,326,0.0,10.4,1,29637,251,32829,127,0.5,0.0,2.18,0.62,2.8,14.97,0.26,0.07,0.33,1.78,201.0,284,130,167.5,211,138,160.0,187,115,52.6,262,135,,,,33,
549,u,0.0,0.0,4.5,412,73,0,0,0,0,0.0,733,248,0,0,0.0,713,263,0,0,0.0,635,253,0.0,0.0,0,0,0,1840,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707,264,0.0,702,263,0.0,683,261,0.0,707,264,,,,33,
550,d,75.0,75.0,6.1,72,45,0,0,-4,4,0.3,334,101,35,0,1.8,335,156,0,124,0.2,409,190,0.0,5.7,0,49894,86,119959,428,0.5,0.2,0.79,0.35,1.14,12.08,0.11,0.05,0.16,1.72,111.2,364,171,72.0,316,185,82.0,275,152,26.4,356,177,,,1.0,33,
551,u,0.0,0.0,4.5,382,236,0,0,0,0,0.2,397,131,0,0,0.0,694,268,0,0,0.0,614,217,0.0,0.0,0,17482,0,53834,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688,265,0.0,682,265,0.0,663,257,0.0,688,265,,,,33,
552,u,0.0,0.0,4.0,663,179,0,0,0,0,0.1,461,161,0,0,0.0,604,205,0,0,0.0,471,165,0.0,0.0,0,3224,0,25959,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,206,0.0,582,204,0.0,542,192,0.0,598,206,,,,33,
561,d,25.0,25.0,3.9,773,259,0,0,-1,1,1.2,184,71,2,0,0.7,536,185,0,9,0.0,446,152,0.0,0.5,0,139854,13,177141,2190,0.1,0.0,0.06,0.1,0.16,0.77,0.08,0.13,0.21,1.0,23.4,461,167,34.8,380,130,11.0,415,147,6.9,451,156,,,,33,
562,u,0.0,0.0,5.5,111,69,0,0,0,0,0.0,658,269,2,0,1.0,514,239,0,9,0.0,774,333,0.0,0.4,0,1049,0,5150,3,0.0,0.0,0.04,0.01,0.05,0.7,0.08,0.02,0.1,1.37,3.0,527,242,1.1,488,239,1.0,472,240,0.4,532,245,,,,33,
563,a,100.0,100.0,5.1,188,113,0,0,-4,4,0.1,507,184,31,1,1.6,367,173,0,141,0.8,313,144,0.2,6.1,0,6898,120,17319,41,1.3,0.8,0.37,0.81,1.18,13.83,0.05,0.12,0.17,2.0,141.6,340,154,164.7,215,141,86.0,267,149,38.9,303,155,,,,33,
567,a,100.0,100.0,4.3,593,134,0,0,-2,2,0.3,311,117,70,9,2.7,174,47,8,320,4.2,54,9,1.0,16.3,1,60306,4638,60612,392,4.7,4.2,0.73,0.55,1.28,35.1,0.03,0.02,0.05,1.46,511.2,107,41,115.4,260,69,98.0,255,72,72.5,194,59,,,,33,
12,a,100.0,100.0,4.5,425,265,0,0,0,0,1.9,145,48,63,7,2.6,192,79,4,232,3.4,97,37,0.8,14.0,0,712452,1050,513259,21193,0.0,9.3,1.15,1.64,2.79,4.75,0.13,0.18,0.31,0.53,278.2,230,101,231.7,163,112,228.0,138,89,73.8,191,101,,,,33,
13,a,100.0,100.0,8.2,11,8,0,0,-3,3,5.2,74,23,90,11,3.5,95,47,7,426,2.8,135,58,0.3,11.0,0,1131073,4028,2174869,22753,0.0,8.1,4.48,6.27,10.75,16.99,0.2,0.28,0.48,0.75,430.6,149,57,860.9,10,9,445.0,64,41,173.8,35,27,3.0,1.0,2.0,33,
15,a,100.0,100.0,5.6,103,1,0,0,1,-1,30.0,6,1,130,7,3.8,67,10,9,512,2.6,137,12,0.5,23.2,2,3869024,9288,3174272,92629,0.0,7.7,0.0,0.01,0.01,29.01,0.0,0.0,0.0,0.85,685.4,37,11,0.7,494,18,0.0,791,82,68.7,206,11,,,,33,
756,a,,,4.0,727,64,0,0,0,0,0.0,691,74,0,0,0.0,654,75,0,0,0.0,529,64,0.0,0.0,0,1539,53,795,38,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647,76,0.0,632,63,0.0,596,45,0.0,647,76,,,,33,
790,a,,,4.5,452,285,0,0,0,0,0.0,797,343,0,0,0.0,738,305,0,0,0.0,667,261,0.0,0.0,0,51,8,23,4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733,302,0.0,727,302,0.0,712,295,0.0,733,302,,,,33,
793,a,,,4.5,432,270,0,0,0,0,0.0,799,345,0,0,0.0,724,294,0,0,0.0,650,247,0.0,0.0,0,18,5,6,3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719,291,0.0,713,291,0.0,696,283,0.0,719,291,,,,33,
28,a,100.0,100.0,6.2,60,34,0,0,-3,3,0.7,241,75,46,0,2.0,298,134,2,169,0.0,787,342,0.0,7.4,0,181666,194,470401,418,0.0,-1.0,1.73,2.92,4.65,13.91,0.14,0.23,0.37,1.11,144.4,337,151,234.8,161,111,323.0,93,61,69.8,203,104,3.0,4.0,,33,
29,a,100.0,100.0,5.2,163,96,0,0,-3,3,0.2,352,110,41,1,2.4,237,101,5,156,0.2,406,188,0.0,7.9,1,26381,36,91462,55,0.0,-0.6,1.69,0.42,2.11,5.36,0.28,0.07,0.35,0.87,210.0,279,126,126.1,249,158,202.0,154,97,53.7,256,131,,,,33,
30,u,0.0,0.0,4.9,275,176,0,0,-1,1,0.0,669,274,0,0,0.0,773,330,0,0,0.0,731,306,0.0,0.0,0,872,0,5332,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773,330,0.0,770,329,0.0,763,328,0.0,773,330,,,,33,
33,u,0.0,0.0,4.5,369,233,0,0,0,0,0.2,385,125,0,0,0.0,689,267,0,0,0.0,608,216,0.0,0.0,0,18187,0,93838,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683,264,0.0,677,264,0.0,657,256,0.0,683,264,,,,33,
34,u,0.0,0.0,6.5,45,22,0,0,0,0,0.0,686,280,0,0,0.0,796,345,0,0,0.0,792,345,0.0,0.0,0,0,0,3414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797,345,0.0,797,345,0.0,797,345,0.0,797,345,,,,33,
37,u,0.0,0.0,5.0,221,140,0,0,0,0,0.0,782,334,0,0,0.0,780,335,0,0,0.0,744,317,0.0,0.0,0,0,0,298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780,335,0.0,779,335,0.0,773,334,0.0,780,335,,,,33,
38,u,0.0,0.0,5.7,101,26,0,0,-3,3,1.6,154,24,53,0,2.6,199,27,9,222,0.0,779,80,0.0,9.3,0,1376643,0,1334996,669,0.0,0.0,5.11,0.24,5.35,9.94,0.74,0.03,0.77,1.44,273.8,232,23,68.9,321,35,334.0,90,29,67.5,211,27,,,,33,
39,u,0.0,0.0,4.0,669,55,0,0,0,0,0.5,257,34,0,0,0.0,610,66,0,0,0.0,477,55,0.0,0.0,0,63380,0,77745,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604,67,0.0,588,54,0.0,548,36,0.0,604,67,,,,33,
40,a,,,3.9,743,241,0,0,-1,1,0.5,256,98,0,0,0.0,577,195,0,0,0.0,423,141,0.0,0.0,0,61881,108,75364,713,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568,193,0.0,545,190,0.0,499,174,0.0,568,193,,,,33,
41,u,0.0,0.0,5.4,137,85,0,0,-1,1,0.0,659,270,0,0,0.0,789,341,0,0,0.0,772,332,0.0,0.0,0,342,0,6761,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790,341,0.0,790,341,0.0,787,340,0.0,790,341,,,,33,
731,a,,,4.5,485,79,0,0,0,0,0.1,540,186,8,0,1.1,436,148,0,26,0.4,364,113,0.1,1.8,0,14403,142,9902,474,0.0,-0.2,0.04,0.49,0.53,6.49,0.01,0.14,0.15,1.85,45.6,424,154,68.4,322,100,7.0,433,157,12.0,417,145,,,,33,
193,i,0.0,0.0,4.8,312,202,0,0,-2,2,0.0,566,216,19,0,1.5,379,179,0,71,0.0,720,298,0.0,4.0,0,12947,3,19944,20,0.0,0.0,0.4,0.11,0.51,7.53,0.08,0.02,0.1,1.53,58.6,414,192,25.7,405,215,23.0,377,204,10.8,424,202,,,,33,
194,a,100.0,100.0,4.4,527,103,0,0,-1,1,0.2,353,132,57,-2,2.9,150,41,2,205,0.7,320,96,0.2,13.0,0,38363,65,36402,2172,0.0,0.4,1.22,0.59,1.81,24.7,0.07,0.03,0.1,1.42,394.4,163,59,39.5,371,124,139.0,209,46,57.1,244,77,,,,33,
