id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
512,a,5.5,1.5,2.0,2,0,9643,9056,0.4,0.4,1.7,1.7,2,0,4,9643,9056,0,0.15,0.0,0.15,1.76,0.0,0.4,11.0,0.8
513,a,4.5,9.6,1.0,1,0,13335,17262,0.2,0.2,2.2,2.2,1,0,5,13335,17262,0,0.0,0.0,0.0,2.03,10.0,0.0,0.0,1.0
514,a,7.5,7.1,2.0,2,0,6896,33873,0.3,0.3,2.6,2.6,2,0,3,6896,33873,0,0.0,0.07,0.07,1.76,4.6,16.8,2.0,2.3
515,a,5.0,0.0,0.0,0,0,77,244,0.0,0.0,1.6,1.6,0,0,0,77,244,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,a,4.5,0.9,1.0,1,0,942,2450,0.2,0.2,1.9,1.9,1,0,-1,942,2450,0,0.0,0.1,0.1,1.96,18.0,15.2,0.0,3.3
517,a,4.0,2.5,0.0,0,0,4674,7505,0.0,0.0,1.0,1.0,0,0,0,4674,7505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,u,4.5,0.1,0.0,0,0,0,1726,0.0,0.0,0.0,0.0,0,0,0,0,1726,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,a,4.5,0.7,1.0,1,0,1312,1897,0.2,0.2,1.9,1.9,1,0,5,1312,1897,0,0.04,0.02,0.06,2.03,6.6,2.5,17.0,2.6
521,a,4.0,13.1,0.0,0,0,17844,16078,0.0,0.0,1.0,1.0,0,0,0,17844,16078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,a,4.5,0.2,0.0,0,0,124,788,0.0,0.0,2.2,2.2,0,0,0,124,788,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,a,5.0,1.1,1.0,1,0,7741,6273,0.2,0.2,1.4,1.4,1,0,2,7741,6273,0,0.25,0.0,0.25,0.07,3.2,0.3,17.0,2.1
524,a,4.5,0.8,1.0,1,0,1406,2133,0.2,0.2,1.9,1.9,1,0,9,1406,2133,0,0.0,0.07,0.07,2.03,31.2,11.3,2.0,4.5
525,a,6.5,8.6,2.0,2,0,18165,37071,0.3,0.3,2.3,2.3,2,0,11,18165,37071,0,0.08,0.47,0.55,2.03,7.6,27.5,22.0,5.7
526,a,5.0,0.0,0.0,0,0,40,289,0.0,0.0,1.6,1.6,0,0,0,40,289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,a,6.0,2.0,6.0,6,0,24409,7145,1.0,1.0,2.2,2.2,6,0,21,24409,7145,0,0.79,0.04,0.83,1.76,40.4,17.0,17.0,7.4
528,a,4.5,0.1,1.0,1,0,224,412,0.2,0.2,1.9,1.9,1,0,13,224,412,0,0.02,0.0,0.02,2.03,27.8,0.9,2.0,3.1
529,a,4.5,0.1,0.0,0,0,387,1285,0.0,0.0,1.9,1.9,0,0,0,387,1285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
