id,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
39,0,0,0,466,1895,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0,0,0,0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,7,1,30,33956,366960,0,0.6899999999999995,0.12,0.8100000000000005,1.3399999999999999,36.39999999999998,2.5,50.0,8.900000000000006
43,0,0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0,0,0,0,737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,0,3,6804,1581,0,0.0,0.0,0.0,0.09,1.0,0.0,0.0,0.1
11,0,0,-2,1058,2336,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
159,1,0,14,2460,3560,0,0.0,0.010000000000000009,0.010000000000000009,1.4499999999999993,16.599999999999994,1.0,0.0,1.8000000000000007
190,0,0,0,0,330,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,0,0,0,164,122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,0,0,0,0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,0,0,0,3487,1444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,5,1589,2684,0,0.0,0.0,0.0,0.0,2.200000000000003,0.0,0.0,0.20000000000000284
3,0,0,0,63961,300621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0,9,56117,50161,0,0.33999999999999986,0.010000000000000009,0.35000000000000053,0.16000000000000014,9.800000000000011,14.800000000000011,19.0,4.3999999999999915
5,0,0,0,0,81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,9,244668,17854,0,0.0,0.030000000000000027,0.029999999999999805,0.16000000000000014,9.199999999999989,14.200000000000017,4.0,2.6999999999999957
7,2,0,17,1288,963,0,0.0,0.03999999999999998,0.040000000000000036,0.16000000000000014,10.399999999999999,6.700000000000003,0.0,1.6999999999999993
502,0,0,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,1,0,5,1770,4755,0,0.0,0.060000000000000005,0.060000000000000005,0.17000000000000015,2.0,14.0,0.0,1.5999999999999999
519,0,0,0,0,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,1,0,10,9693,23635,0,0.0,0.10999999999999988,0.10999999999999988,1.4599999999999973,5.599999999999994,20.0,2.0,2.799999999999997
521,2,0,10,57618,20391,0,0.0,0.0,0.0,1.629999999999999,18.80000000000001,0.3,0.0,1.8999999999999986
522,0,0,0,264,385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0,0,0,0,320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,1,0,-3,3141,40753,0,0.33000000000000007,0.020000000000000018,0.34999999999999987,0.9100000000000001,2.8000000000000114,26.799999999999983,13.0,4.300000000000004
554,0,0,0,5107,16399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,0,0,0,143,169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,0,0,0,1102,3443,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,1,0,6,4561,6609,0,0.27,0.010000000000000009,0.28,1.0100000000000016,19.399999999999977,11.099999999999994,17.0,4.799999999999997
558,0,0,0,1350,2673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,1,0,8,5076,1966,0,0.050000000000000044,0.010000000000000009,0.06000000000000005,1.0100000000000016,27.0,12.0,2.0,4.100000000000001
561,0,0,0,1095,3793,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,0,0,0,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,0,0,0,86,401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0,0,0,790,4254,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1,0,6,9519,5419,0,0.07999999999999996,0.010000000000000009,0.08999999999999986,1.3100000000000005,18.400000000000006,2.0,5.0,2.5
647,0,0,0,120,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,7,0,19,7296,1054,0,0.52,0.0,0.52,1.450000000000001,55.19999999999999,0.0,33.0,8.799999999999997
67,0,0,0,0,185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,1,0,12,63332,260918,0,0.1100000000000001,0.030000000000000027,0.14000000000000012,1.3399999999999999,31.399999999999977,6.399999999999977,4.0,4.199999999999989
352,0,0,0,0,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,0,420,175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,0,0,0,0,181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,0,0,0,1927,9489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,0,0,0,0,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0,0,0,5,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,0,0,0,216,637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0,0,0,0,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,0,0,0,120,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
686,0,0,0,193,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1,0,5,5157,1626,0,0.0,0.0,0.0,1.0099999999999998,21.399999999999977,0.0,0.0,2.099999999999998
533,4,0,18,91057,69123,0,0.040000000000000036,0.09000000000000008,0.1299999999999999,0.9100000000000001,34.19999999999999,25.399999999999977,7.0,6.700000000000003
534,0,0,0,22,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,1,0,2,755,728,0,0.13999999999999996,0.0,0.14,0.14000000000000057,3.200000000000003,0.29999999999999716,11.0,1.5
536,0,0,0,729,3222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,0,0,0,0,275,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,0,0,0,0,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,0,0,0,14642,19419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,0,0,0,361,992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,1,0,10,171676,163456,0,0.040000000000000036,0.25,0.29000000000000004,1.0100000000000016,12.400000000000034,46.80000000000001,10.0,6.8999999999999915
542,0,0,0,564,1966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,6,0,20,3765,552,0,0.51,0.08000000000000002,0.5900000000000001,1.0099999999999998,54.00000000000001,16.299999999999997,38.0,10.8
567,1,0,8,2946,2903,0,0.0,0.0,0.0,1.0100000000000016,34.79999999999998,10.399999999999999,2.0,4.699999999999999
642,2,0,11,428,232,0,0.0,0.020000000000000004,0.01999999999999999,0.870000000000001,6.200000000000003,11.099999999999994,0.0,1.6999999999999993
303,0,0,0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,0,0,0,119,203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,0,0,0,14484,4839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,0,0,0,332,209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2,0,8,5801,5291,0,0.25,0.07000000000000006,0.32000000000000006,0.16000000000000014,6.0,8.5,7.0,2.200000000000003
22,0,0,0,21,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,0,10,10588,13616,0,0.020000000000000018,0.15000000000000002,0.16999999999999993,0.040000000000000036,9.0,17.80000000000001,23.0,5.0
24,0,0,0,163,14923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0,0,2268,5097,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
